Date,Asset,Open,High,Low,Close,sentiment,ma30,Position,Order_Execution,High_Tmr,Low_Tmr,Close_Tmr,PnL,Reserve,Returns
2001-01-02,US,1320.28,1320.28,1276.05,1283.27,-0.125814,,,False,1347.76,1274.62,1347.56,0.0,0.16100000000000003,1.0
2001-01-03,US,1283.27,1347.76,1274.62,1347.56,-0.168,,,False,1350.24,1329.14,1333.34,0.0,0.16100000000000003,1.0
2001-01-04,US,1347.56,1350.24,1329.14,1333.34,-0.099087,,,False,1334.77,1294.95,1298.35,0.0,0.16100000000000003,1.0
2001-01-05,US,1333.34,1334.77,1294.95,1298.35,-0.117253,,,False,1298.35,1276.29,1295.86,0.0,0.16100000000000003,1.0
2001-01-08,US,1298.35,1298.35,1276.29,1295.86,-0.106397,,,False,1311.72,1295.14,1300.8,0.0,0.16100000000000003,1.0
2001-01-09,US,1295.86,1311.72,1295.14,1300.8,-0.12004400000000001,,,False,1313.76,1287.28,1313.27,0.0,0.16100000000000003,1.0
2001-01-10,US,1300.8,1313.76,1287.28,1313.27,-0.145714,,,False,1332.19,1309.72,1326.82,0.0,0.16100000000000003,1.0
2001-01-11,US,1313.27,1332.19,1309.72,1326.82,-0.143761,,,False,1333.21,1311.59,1318.32,0.0,0.16100000000000003,1.0
2001-01-12,US,1326.82,1333.21,1311.59,1318.32,-0.122214,,,False,1327.81,1313.33,1326.65,0.0,0.16100000000000003,1.0
2001-01-16,US,1318.32,1327.81,1313.33,1326.65,-0.100299,,,False,1346.92,1325.41,1329.47,0.0,0.16100000000000003,1.0
2001-01-17,US,1326.65,1346.92,1325.41,1329.47,-0.100297,,,False,1352.71,1327.41,1347.97,0.0,0.16100000000000003,1.0
2001-01-18,US,1329.89,1352.71,1327.41,1347.97,-0.103032,,,False,1354.55,1336.74,1342.54,0.0,0.16100000000000003,1.0
2001-01-19,US,1347.97,1354.55,1336.74,1342.54,-0.095069,,,False,1353.62,1333.84,1342.9,0.0,0.16100000000000003,1.0
2001-01-22,US,1342.54,1353.62,1333.84,1342.9,-0.070297,,,False,1362.9,1339.63,1360.4,0.0,0.16100000000000003,1.0
2001-01-23,US,1342.9,1362.9,1339.63,1360.4,-0.107001,,,False,1369.75,1357.28,1364.3,0.0,0.16100000000000003,1.0
2001-01-24,US,1360.4,1369.75,1357.28,1364.3,-0.073087,,,False,1367.35,1354.63,1357.51,0.0,0.16100000000000003,1.0
2001-01-25,US,1364.3,1367.35,1354.63,1357.51,-0.088337,,,False,1357.51,1342.75,1354.95,0.0,0.16100000000000003,1.0
2001-01-26,US,1357.51,1357.51,1342.75,1354.95,-0.098388,,,False,1365.54,1350.36,1364.17,0.0,0.16100000000000003,1.0
2001-01-29,US,1354.92,1365.54,1350.36,1364.17,-0.10519200000000001,,,False,1375.68,1356.2,1373.73,0.0,0.16100000000000003,1.0
2001-01-30,US,1364.17,1375.68,1356.2,1373.73,-0.1057,-0.10385470000000002,Long,True,1383.37,1364.66,1366.01,-0.004714958543527499,0.15628504145647254,0.9952850414564725
2001-01-31,US,1373.73,1383.37,1364.66,1366.01,-0.098945,-0.10458463333333336,Short,True,1373.5,1359.34,1373.47,-0.004581913748801368,0.15170312770767116,0.9907031277076711
2001-02-01,US,1366.01,1373.5,1359.34,1373.47,-0.10347,-0.10383983333333337,Short,True,1376.38,1348.72,1349.47,0.014660676971466422,0.16636380467913758,1.0053638046791376
2001-02-02,US,1373.47,1376.38,1348.72,1349.47,-0.08398,-0.1010391666666667,Short,True,1354.56,1344.48,1354.31,-0.003009151741053883,0.1633546529380837,1.0023546529380836
2001-02-05,US,1349.47,1354.56,1344.48,1354.31,-0.07858899999999999,-0.09716590000000001,Short,True,1363.55,1350.04,1352.26,0.0012699825003137692,0.16462463543839748,1.0036246354383975
2001-02-06,US,1354.31,1363.55,1350.04,1352.26,-0.092083,-0.09860753333333336,Short,True,1352.26,1334.26,1340.89,0.0070544347980417265,0.1716790702364392,1.0106790702364392
2001-02-07,US,1352.26,1352.26,1334.26,1340.89,-0.117798,-0.0989875666666667,Long,True,1350.32,1332.42,1332.53,-0.0052308839651277195,0.16644818627131147,1.0054481862713114
2001-02-08,US,1341.1,1350.32,1332.42,1332.53,-0.101886,-0.09838230000000002,Long,True,1332.53,1309.98,1314.76,-0.011188513579431618,0.15525967269187987,0.9942596726918799
2001-02-09,US,1332.53,1332.53,1309.98,1314.76,-0.11146800000000001,-0.09724076666666669,Long,True,1330.96,1313.64,1330.31,0.009923065806687115,0.165182738498567,1.0041827384985669
2001-02-12,US,1314.76,1330.96,1313.64,1330.31,-0.093319,-0.09381330000000003,Short,True,1336.62,1317.51,1318.8,0.007259127571768985,0.17244186607033596,1.011441866070336
2001-02-13,US,1330.31,1336.62,1317.51,1318.8,-0.096826,-0.09450410000000002,Long,True,1320.73,1304.72,1315.92,-0.0018322111010008696,0.17060965496933508,1.009609654969335
2001-02-14,US,1318.8,1320.73,1304.72,1315.92,-0.105986,-0.09478993333333335,Long,True,1331.29,1315.92,1326.61,0.00681569548300802,0.17742535045234312,1.016425350452343
2001-02-15,US,1315.92,1331.29,1315.92,1326.61,-0.075391,-0.09395966666666669,Short,True,1326.61,1293.18,1301.53,0.015861571976692457,0.19328692242903556,1.0322869224290354
